Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
06-NOV-2025,35380.45,35509,35248.3,35337.6,25147978,3633.61
04-NOV-2025,35580.55,35668.75,35198.75,35274.55,22951640,3279.22
03-NOV-2025,35664.8,35742.8,35479.5,35653.05,19125294,2942.63
31-OCT-2025,35918.55,36050.35,35681.05,35712.35,18539947,2863.23
30-OCT-2025,36073.15,36127.9,35812.75,35906.4,22272638,2966.09
29-OCT-2025,35916.1,36201.55,35778.2,36090.1,23383363,3276.17
28-OCT-2025,36088.65,36193.15,35677.6,35860.4,27096252,3963.53
27-OCT-2025,36075.55,36279.4,35962.8,36129.1,29062362,4073.79
24-OCT-2025,36211.4,36268.65,35886.15,35986.35,23122351,3449.56
23-OCT-2025,35936.75,36462,35859.75,36078.65,57125646,7985.39
21-OCT-2025,35500.9,35564.2,35221.55,35299.75,4701798,531.79
20-OCT-2025,35109.75,35377.85,35077.85,35292.6,25620811,3479.22
17-OCT-2025,35356.5,35356.5,34872.95,34950.7,73029922,6750.02
16-OCT-2025,35443.7,35574.25,35229.6,35531.05,27600130,3867.98
15-OCT-2025,35327.2,35571.6,35226.15,35401.8,36042614,6155.15
14-OCT-2025,35542.85,35766.25,35148.4,35214.85,26301788,3962.6
13-OCT-2025,35397.2,35505.35,35072.4,35330.8,20333183,3031.13
10-OCT-2025,35705.65,35821.3,35321.85,35609.05,25124900,4653.09
09-OCT-2025,35315.4,35688.35,35174.8,35628.5,21180675,3492.56
08-OCT-2025,34664.4,35394.55,34607.3,35232.2,23277005,3693.39
07-OCT-2025,34820.6,34879.2,34533.75,34709.45,20978937,3219.13
06-OCT-2025,33961.4,34743.75,33926.65,34722.5,20357111,2945.66
03-OCT-2025,33921.1,33992.15,33763.1,33949.75,28852765,3674.9
01-OCT-2025,33702.85,34016.6,33432.1,33905.2,24155948,2989.88
30-SEP-2025,33789.7,33922.6,33634.3,33655.1,28765229,4416.72
29-SEP-2025,33900.6,33970.05,33606.45,33693.05,31864205,4400.06
26-SEP-2025,34399.2,34477.3,33636.55,33702,36990380,4263.69
25-SEP-2025,34914,35092.4,34460.3,34548.3,29227693,4426.48
24-SEP-2025,35104.05,35193.3,34857.7,34994.25,23614187,3282.39
23-SEP-2025,35477.6,35642.7,35177.35,35249.1,29898713,4385.43
22-SEP-2025,35437.9,35781.6,35145.1,35500.15,51032624,7236.03
19-SEP-2025,36765.5,36821.2,36369.95,36578.25,37154135,5645.98
18-SEP-2025,36801.5,37064.95,36631.05,36750.25,31290224,4557.21
17-SEP-2025,36326.3,36608.9,36253.9,36447.15,22129153,3462.15
16-SEP-2025,35962.3,36274,35860.5,36212.15,23551668,3536.87
15-SEP-2025,36139.7,36151.45,35686.15,35902.15,15685889,2489.43
12-SEP-2025,36331.45,36356.65,36025.3,36110.75,24644058,3767.99
11-SEP-2025,36265.95,36278.2,35829.85,36003.45,22619140,4637.15
10-SEP-2025,35428.9,36255.2,35426.6,36183.8,36470005,5866.58
09-SEP-2025,34773.05,35304.85,34770.35,35255.9,35890893,4512.45
08-SEP-2025,34744.9,34912.85,34259.4,34310.45,19554708,2786.95
05-SEP-2025,35234.75,35331.5,34343.4,34635.85,23511587,3631.36
04-SEP-2025,35580.6,35599.3,35093.4,35143.1,17425758,2455.2
03-SEP-2025,35807.95,35832,35293.1,35474.95,15429775,2444.13
02-SEP-2025,35767,36061.1,35541.2,35737.9,16855282,2566.68
01-SEP-2025,35255.3,35787.7,35255.3,35740.65,14503351,2300.67
29-AUG-2025,35491.6,35575.2,35130.35,35181.25,28103189,3644.92
28-AUG-2025,36017.15,36018.95,35444.2,35488.75,22827482,3565.6
26-AUG-2025,36106.8,36324.3,35998.95,36063.2,46147784,6384.61
25-AUG-2025,35795.5,36445.3,35795.5,36280.05,39055932,5136.1
22-AUG-2025,35735.45,35767.15,35415.4,35440.85,27636108,3025.22
21-AUG-2025,35918.8,35922.55,35461.45,35723.9,24175787,3570.3
20-AUG-2025,34647.2,35773.65,34647.2,35690.05,41794670,6325.16
19-AUG-2025,34618.85,34825.3,34549.05,34756.7,16666321,2629.32
18-AUG-2025,35152.7,35158.7,34514,34634.95,21934572,3263.72
14-AUG-2025,34732.25,35332.2,34732.25,34833.2,37833144,5021.21
13-AUG-2025,34756.65,34842.15,34552.85,34692.95,24699468,3496.26
12-AUG-2025,34589.85,35072.5,34561.3,34674.3,29736522,4305.31
11-AUG-2025,34367.25,34624.4,34228,34544.65,17405840,2683.88
08-AUG-2025,34603,34643.75,34350.85,34398.5,30093257,3979.45
07-AUG-2025,34284.95,34808.05,34224.55,34726.8,25184313,3674.41
06-AUG-2025,34957.95,34990.35,34347.45,34426.25,25943092,3424.91
05-AUG-2025,35196.75,35196.75,34854.3,35034.5,27915106,3829.16
04-AUG-2025,34558.7,35219.85,34324.85,35203.35,23001152,3537.86
01-AUG-2025,35118.6,35166.4,34586.9,34649.6,24469783,3416.21
31-JUL-2025,35218.85,35589,34999.25,35301.6,25052765,3787
30-JUL-2025,35453.05,35531.55,35258,35481.7,20933609,3229.92
29-JUL-2025,35270.9,35438.75,35101.5,35373.25,37020194,5076.05
28-JUL-2025,35521.7,35566.55,35049.9,35370.05,28685591,4284.18
25-JUL-2025,35998,36271.1,35531.65,35623.75,34103847,5408
24-JUL-2025,36949.3,36974.05,36097.65,36135.8,48548590,8943.2
23-JUL-2025,36958.3,37086.6,36745.2,36951.5,25685905,3923.92
22-JUL-2025,36963.65,37121,36827.4,36858.9,24765665,3820.94
21-JUL-2025,37109.8,37164.85,36780.05,37031.75,25947710,3520.16
18-JUL-2025,37366.7,37419.6,36951.85,37141.85,49847554,5296.29
17-JUL-2025,37552.85,37666.55,37060.7,37138.55,32555252,5096.16
16-JUL-2025,37325.7,37758.5,37258.05,37660.7,30678953,4069.17
15-JUL-2025,37077,37664.9,37048.95,37424.6,38898446,5830.18
14-JUL-2025,37643.35,37664.2,37016.1,37273.7,30909419,4482.05
11-JUL-2025,37702.55,37990.8,37558.1,37693.25,40664744,6529.91
10-JUL-2025,38713.8,38715.2,38197.35,38376.65,22312329,3597.49
09-JUL-2025,38986.8,38999.75,38540.65,38680.85,24218172,3077.35
08-JUL-2025,38837,39238.2,38732.55,38983.25,18496692,3090.07
07-JUL-2025,39146.15,39176.65,38799.7,38866.95,14542913,2335.88
04-JUL-2025,38968.1,39191.9,38784.4,39166.55,16226386,2130.67
03-JUL-2025,39009.85,39203.7,38803.75,38854.3,22475281,3158.15
02-JUL-2025,39080.3,39519.5,38738.85,38879.1,27482971,4340.88
01-JUL-2025,39004.65,39282.95,38725.25,38833.15,17391860,3252.36
30-JUN-2025,38945.85,39011.95,38652.3,38950,21036914,3143.27
27-JUN-2025,39125.75,39357.75,38707.15,38822.95,39110445,6774.63
26-JUN-2025,38996.65,39103.35,38760.15,38996.25,27522524,4459.32
25-JUN-2025,38635,39109.25,38605.5,39046.3,19980864,3288.35
24-JUN-2025,38852.65,38936.55,38380,38417.95,25854223,4369.22
23-JUN-2025,38642.15,38646.5,38278.7,38414.1,21918237,3670.11
20-JUN-2025,38674.2,39041.05,38454.05,38991.45,34045562,4904.67
19-JUN-2025,38945.35,38966.8,38429.4,38664.95,30242750,4010.62
18-JUN-2025,39220.35,39572.5,38963.8,39030.9,18511797,3189.04
17-JUN-2025,39123,39499.15,38977.95,39356.1,24129206,3988.83
16-JUN-2025,38440.85,39258.4,38369.05,39073.05,25426392,3593.37
13-JUN-2025,37769.5,38687.55,37722.2,38469.25,24748681,3727.89
12-JUN-2025,38732.95,38891.05,38227.25,38460.3,38401774,5622.31
11-JUN-2025,38355.5,38834.75,38215,38784.3,42411235,5655.91
10-JUN-2025,37871.6,38567.75,37825.15,38299.95,37633777,6206.76
09-JUN-2025,37522.5,37786.25,37445.3,37669.2,18626820,2572.79
06-JUN-2025,37134.15,37356.3,36910.95,37294.85,15075590,2485.18
05-JUN-2025,37034.45,37408.25,36886.25,37107.95,23541040,3963.9
04-JUN-2025,36831.3,37088.5,36762.8,36938.1,20108609,3228.51
03-JUN-2025,37199.65,37367.35,36740.55,36814.9,24279482,3643.23
02-JUN-2025,37147.85,37172.6,36770.15,37061.85,18967225,3247.62
30-MAY-2025,37646.4,37665.45,37241.25,37321.75,39452498,5760.62
29-MAY-2025,37762.15,38121.4,37585.05,37754.15,29691992,4506.45
28-MAY-2025,37751.4,37777.5,37440.7,37465.75,14854931,2255.66
27-MAY-2025,37777.9,37798.7,37323.3,37501.45,22389320,3519.51
26-MAY-2025,37491.1,37819.65,37442.85,37785.9,10637586,1788.29
23-MAY-2025,37108.7,37826.4,37062.8,37403.55,17910942,2695.06
22-MAY-2025,37246.25,37316.3,36868.55,37050.1,25367188,3517.24
21-MAY-2025,37418.25,37618.9,37112.6,37540.1,14561774,2321.61
20-MAY-2025,37722.2,38019.05,37234.2,37283.5,25350158,4244.75
19-MAY-2025,37845.6,37917.2,37429.6,37477.8,21745482,3500.96
16-MAY-2025,38351.9,38351.9,37814.9,37972.35,18005482,2853.74
15-MAY-2025,37929.1,38377.35,37456.75,38293.8,37307356,6080.64
14-MAY-2025,37480.6,37913.8,37379.15,37853.55,21955934,3618.23
13-MAY-2025,38326.4,38326.4,37304.95,37354.6,36649336,5828.32
12-MAY-2025,36656.65,38356.1,36600.75,38282.55,43159289,6369.61
09-MAY-2025,35490.9,35929.3,35488.4,35880.1,22085342,3115.38
08-MAY-2025,35960.95,36240.25,35832.8,36002.45,30708492,4914.18
07-MAY-2025,35479.1,36042.25,35440.65,35920.3,24863436,3651.27
06-MAY-2025,36129.3,36314.2,35778.8,35869.2,21845224,4295.34
05-MAY-2025,36042.6,36352.4,35949.35,35991.25,21175475,2587.6
02-MAY-2025,35868.5,36300.6,35637.4,35891.85,31311163,4166.92
