Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Chronos_Predicted
2025-05-27,35906.7,36013.6,35634.0,35880.9,478751417,9326.4,32090.060546875
2025-05-28,35941.45,36094.1,35855.55,35888.55,427683182,7890.39,32587.58203125
2025-05-29,36020.45,36082.35,35858.0,35988.7,461740595,9623.86,32836.3427734375
2025-05-30,36236.8,36421.35,35821.0,35879.05,1472134967,17351.51,32711.9638671875
2025-06-02,35931.3,36040.3,35818.55,35933.8,880618012,11341.53,32214.4404296875
2025-06-03,36036.15,36156.25,35511.8,35549.6,527763699,9091.31,32338.8203125
2025-06-04,35650.1,35773.35,35368.85,35734.2,560170703,8744.15,32214.4404296875
2025-06-05,35835.2,36068.85,35767.25,35824.85,496647659,8950.4,31965.6806640625
2025-06-06,35885.05,35962.45,35790.65,35924.05,449443716,7877.54,31965.6806640625
2025-06-09,36143.25,36371.1,36079.35,36352.8,677925041,10133.67,32338.822265625
2025-06-10,36536.55,36582.6,36329.1,36515.25,1048273490,13815.84,32338.822265625
2025-06-11,36649.95,36938.9,36495.4,36624.7,1071035326,14380.65,32463.2021484375
2025-06-12,36753.15,36771.35,35851.95,35918.35,681360416,11599.18,32711.9638671875
2025-06-13,35408.0,35819.0,35304.95,35740.55,564569225,10920.69,32587.58203125
2025-06-16,35796.75,36029.2,35429.65,36010.45,499778981,8697.4,32711.9638671875
2025-06-17,36067.2,36107.75,35736.0,35836.0,268542132,6608.0,33085.1015625
2025-06-18,35831.25,35941.95,35544.15,35667.55,284266755,6286.48,33085.1015625
2025-06-19,35671.4,35848.35,35180.65,35273.85,327915778,8425.76,32711.9638671875
2025-06-20,35248.55,35760.4,35181.1,35600.2,549202674,17101.86,32711.9638671875
2025-06-23,35361.0,35711.0,35280.1,35608.95,273317795,7110.45,32711.9638671875
2025-06-24,35836.7,35952.8,35627.45,35727.05,478560155,13600.14,32711.9638671875
2025-06-25,35923.15,35974.4,35765.35,35820.55,343211506,7619.59,32587.5810546875
2025-06-26,35885.6,36208.9,35873.6,36179.1,341784618,10129.18,32836.341796875
2025-06-27,36300.7,36707.65,36289.6,36542.6,554584934,15490.64,32711.9609375
2025-06-30,36672.15,36743.55,36415.95,36568.65,377309304,7655.03,32587.5810546875
2025-07-01,36661.55,36702.65,36423.6,36480.1,349431044,8114.73,32090.060546875
2025-07-02,36543.3,36611.0,36164.45,36331.25,332172854,7094.18,31841.30078125
2025-07-03,36442.25,36555.25,36276.0,36362.8,294481152,7555.32,31841.30078125
2025-07-04,36445.35,36523.9,36291.95,36509.6,288170037,7066.44,31536.873046875
2025-07-07,36553.75,36650.65,36421.9,36532.4,1133303501,8311.9,31536.873046875
2025-07-08,36553.85,36755.25,36415.65,36605.85,937318113,8533.78,31536.873046875
2025-07-09,36648.85,36737.7,36452.55,36517.5,624783186,7635.96,31536.873046875
2025-07-10,36591.55,36630.15,36335.9,36447.65,535640139,7592.86,31536.873046875
2025-07-11,36432.1,36488.65,36039.7,36097.85,681569092,7201.41,31536.873046875
2025-07-14,36159.75,36289.7,36035.15,36201.05,1250884527,10212.29,31409.7080078125
2025-07-15,36237.95,36431.6,36180.5,36308.5,683166315,7118.94,31664.037109375
2025-07-16,36297.95,36388.65,36199.75,36350.9,530236066,7871.68,31918.3662109375
2025-07-17,36426.9,36537.85,36330.05,36438.25,318833779,8827.22,32045.53125
2025-07-18,36502.15,36590.0,36144.0,36231.65,376045710,7004.11,31918.3662109375
2025-07-21,36210.65,36282.3,35966.45,36248.55,276396855,7138.98,31918.3662109375
2025-07-22,36296.55,36338.65,36090.7,36198.5,259663181,7572.76,31918.3662109375
2025-07-23,36276.95,36340.5,36171.4,36302.95,251027359,5273.16,31791.201171875
2025-07-24,36319.6,36359.2,35950.4,36048.35,205647967,6530.3,31664.037109375
2025-07-25,35967.8,36009.7,35214.8,35250.5,256479516,6342.55,31664.037109375
2025-07-28,35244.1,35515.55,34986.25,35021.55,269832051,5523.93,31664.037109375
2025-07-29,34940.35,35447.6,34901.75,35410.7,249924879,6289.93,31536.873046875
2025-07-30,35541.75,35619.9,35333.4,35422.05,233295915,6045.49,31409.7080078125
2025-07-31,35062.85,35321.2,35010.7,35116.15,266392390,7717.03,31536.873046875
2025-08-01,35183.3,35283.2,34826.3,34889.0,493454516,8969.44,31536.873046875
2025-08-04,34932.3,35025.6,34685.0,34923.45,279108602,7927.19,31791.201171875
2025-08-05,34957.3,35062.3,34739.8,34914.4,260813400,7720.13,31664.037109375
2025-08-06,34932.95,34947.2,34617.7,34683.35,294743974,7135.4,31791.201171875
2025-08-07,34504.5,34660.65,34114.35,34613.8,309300942,7535.92,31918.3662109375
2025-08-08,34635.55,34714.85,34340.05,34391.95,262080042,6646.87,31536.873046875
2025-08-11,34426.2,34640.2,34329.85,34610.35,227405654,6241.84,31536.873046875
2025-08-12,34661.05,34881.6,34635.7,34741.45,288919021,6834.0,31664.037109375
2025-08-13,34872.55,34944.6,34636.1,34739.35,323813846,5982.51,31664.037109375
2025-08-14,34780.95,34804.5,34419.0,34469.05,221994657,5471.61,31664.037109375
2025-08-18,34812.7,34822.5,34364.55,34483.2,365234301,7184.69,31536.873046875
2025-08-19,34561.5,34789.7,34499.25,34768.1,290518040,6577.21,31536.873046875
2025-08-20,34766.6,34939.75,34766.2,34847.85,235323630,5350.54,31409.7080078125
2025-08-21,34906.75,34987.05,34658.7,34681.6,227373564,5784.27,31409.7080078125
2025-08-22,34687.25,34729.85,34477.9,34507.6,205631615,4467.97,31664.037109375
2025-08-25,34576.95,34611.75,34441.2,34494.35,188296748,4449.34,31664.037109375
2025-08-26,34395.25,34471.7,33909.3,33955.95,305287264,13303.94,31536.873046875
2025-08-28,33994.6,34006.1,33616.0,33682.85,261559785,7052.73,31536.873046875
2025-08-29,33689.95,33862.8,33481.85,33638.65,304708913,8277.54,31282.54296875
2025-09-01,33785.25,34200.25,33727.2,34155.3,214284445,6065.82,31409.7080078125
2025-09-02,34287.45,34720.4,34248.5,34490.5,235988792,6354.07,31664.037109375
2025-09-03,34571.05,34715.4,34562.55,34626.6,216419061,5760.6,31918.3662109375
2025-09-04,34788.4,34803.15,34246.85,34284.7,203031780,5706.47,31791.201171875
2025-09-05,34357.85,34441.75,34104.25,34297.9,200848351,4044.62,31791.201171875
2025-09-08,34429.55,34552.25,34272.75,34290.65,155616738,4756.22,32045.53125
2025-09-09,34369.75,34402.45,34201.2,34249.65,226129630,4991.43,32172.6962890625
2025-09-10,34401.35,34598.55,34384.15,34522.1,221467896,5890.37,31918.3662109375
2025-09-11,34595.45,34992.65,34525.0,34826.7,328190384,10828.57,32172.6962890625
2025-09-12,34918.2,35021.85,34830.4,34940.3,200271008,5355.47,32299.8603515625
2025-09-15,34976.2,35201.7,34973.05,35129.0,213042025,5582.19,31664.037109375
2025-09-16,35218.55,35474.95,35159.65,35441.1,303568330,7081.24,31664.037109375
2025-09-17,35620.6,35648.2,35457.85,35568.05,235027233,5637.33,31791.201171875
2025-09-18,35657.7,35669.05,35278.3,35442.1,188124869,5522.82,31791.2021484375
2025-09-19,35596.15,35814.65,35583.05,35745.75,452699571,17418.66,31918.3671875
2025-09-22,35804.3,36182.1,35789.15,35992.65,438558305,15703.69,31918.3671875
2025-09-23,36107.65,36142.4,35761.7,35826.2,438281879,12539.85,32045.53125
2025-09-24,35822.6,35844.4,35482.4,35506.7,352326812,8480.83,31918.3671875
2025-09-25,35528.05,35736.15,35217.25,35255.55,374728811,9301.39,31918.3671875
2025-09-26,35272.15,35285.55,34775.15,34830.0,273078454,6810.17,31791.2021484375
2025-09-29,34994.4,35265.8,34952.75,35069.15,324935000,8939.27,31791.2021484375
2025-09-30,35144.55,35203.3,34861.1,34999.65,251491863,7460.23,31918.3662109375
2025-10-01,35020.6,35315.9,34980.05,35180.35,270800100,7166.12,31918.3662109375
2025-10-03,35236.25,35400.35,35036.85,35375.9,401434010,9661.13,31791.2021484375
2025-10-06,35359.65,35446.9,35212.75,35369.45,269052847,7395.9,32045.53125
2025-10-07,35438.75,35708.5,35421.75,35470.0,329596682,8847.97,31679.447265625
2025-10-08,35544.0,35558.45,35054.85,35085.75,287104387,6584.94,31679.447265625
2025-10-09,35138.5,35285.15,35021.05,35244.15,250794542,5926.37,31549.61328125
2025-10-10,35280.95,35573.95,35268.0,35393.95,389797915,5941.81,31679.447265625
2025-10-13,35236.05,35313.7,35026.5,35288.0,343631738,6820.38,31679.447265625
2025-10-14,35383.65,35511.8,35003.05,35067.7,275303524,6529.21,31679.447265625
2025-10-15,35120.4,35395.45,35097.8,35321.65,324628142,7500.92,31679.447265625
2025-10-16,35407.05,35490.15,35318.0,35468.8,304771311,7680.84,31679.447265625
2025-10-17,35485.35,35527.95,35192.6,35395.7,546116538,11233.07,31679.447265625
2025-10-20,35557.05,35677.75,35512.5,35563.95,309309360,9250.9,31679.447265625
2025-10-21,35698.6,35748.85,35588.65,35644.15,75293233,1391.14,31549.61328125
2025-10-23,35768.7,35876.1,35567.3,35619.15,366591286,9352.26,31939.115234375
2025-10-24,35664.05,35815.3,35528.65,35626.9,276702254,7056.56,31679.447265625
2025-10-27,35740.85,35854.6,35686.5,35780.0,240986390,7172.42,31679.447265625
2025-10-28,35812.45,35890.65,35498.6,35658.15,355242757,8507.81,31809.28125
