Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Chronos_Predicted
2025-05-19,37845.6,37917.2,37429.6,37477.8,21745482,3500.96,37266.763671875
2025-05-20,37722.2,38019.05,37234.2,37283.5,25350158,4244.75,37398.447265625
2025-05-21,37418.25,37618.9,37112.6,37540.1,14561774,2321.61,37135.078125
2025-05-22,37246.25,37316.3,36868.55,37050.1,25367188,3517.24,37398.44921875
2025-05-23,37108.7,37826.4,37062.8,37403.55,17910942,2695.06,37266.763671875
2025-05-26,37491.1,37819.65,37442.85,37785.9,10637586,1788.29,37398.447265625
2025-05-27,37777.9,37798.7,37323.3,37501.45,22389320,3519.51,37398.44921875
2025-05-28,37751.4,37777.5,37440.7,37465.75,14854931,2255.66,37135.078125
2025-05-29,37762.15,38121.4,37585.05,37754.15,29691992,4506.45,37530.1328125
2025-05-30,37646.4,37665.45,37241.25,37321.75,39452498,5760.62,37398.447265625
2025-06-02,37147.85,37172.6,36770.15,37061.85,18967225,3247.62,37398.447265625
2025-06-03,37199.65,37367.35,36740.55,36814.9,24279482,3643.23,37398.447265625
2025-06-04,36831.3,37088.5,36762.8,36938.1,20108609,3228.51,37266.763671875
2025-06-05,37034.45,37408.25,36886.25,37107.95,23541040,3963.9,37793.505859375
2025-06-06,37134.15,37356.3,36910.95,37294.85,15075590,2485.18,37661.8203125
2025-06-09,37522.5,37786.25,37445.3,37669.2,18626820,2572.79,37925.189453125
2025-06-10,37871.6,38567.75,37825.15,38299.95,37633777,6206.76,37530.13671875
2025-06-11,38355.5,38834.75,38215.0,38784.3,42411235,5655.91,37530.134765625
2025-06-12,38732.95,38891.05,38227.25,38460.3,38401774,5622.31,37398.44921875
2025-06-13,37769.5,38687.55,37722.2,38469.25,24748681,3727.89,37266.763671875
2025-06-16,38440.85,39258.4,38369.05,39073.05,25426392,3593.37,37003.39453125
2025-06-17,39123.0,39499.15,38977.95,39356.1,24129206,3988.83,36871.708984375
2025-06-18,39220.35,39572.5,38963.8,39030.9,18511797,3189.04,36740.025390625
2025-06-19,38945.35,38966.8,38429.4,38664.95,30242750,4010.62,36344.970703125
2025-06-20,38674.2,39041.05,38454.05,38991.45,34045562,4904.67,36344.97265625
2025-06-23,38642.15,38646.5,38278.7,38414.1,21918237,3670.11,36476.65625
2025-06-24,38852.65,38936.55,38380.0,38417.95,25854223,4369.22,36213.287109375
2025-06-25,38635.0,39109.25,38605.5,39046.3,19980864,3288.35,36081.603515625
2025-06-26,38996.65,39103.35,38760.15,38996.25,27522524,4459.32,35949.919921875
2025-06-27,39125.75,39357.75,38707.15,38822.95,39110445,6774.63,35949.919921875
2025-06-30,38945.85,39011.95,38652.3,38950.0,21036914,3143.27,35949.919921875
2025-07-01,39004.65,39282.95,38725.25,38833.15,17391860,3252.36,36081.603515625
2025-07-02,39080.3,39519.5,38738.85,38879.1,27482971,4340.88,35686.55078125
2025-07-03,39009.85,39203.7,38803.75,38854.3,22475281,3158.15,35818.234375
2025-07-04,38968.1,39191.9,38784.4,39166.55,16226386,2130.67,35530.19921875
2025-07-07,39146.15,39176.65,38799.7,38866.95,14542913,2335.88,35530.19921875
2025-07-08,38837.0,39238.2,38732.55,38983.25,18496692,3090.07,35530.19921875
2025-07-09,38986.8,38999.75,38540.65,38680.85,24218172,3077.35,35530.19921875
2025-07-10,38713.8,38715.2,38197.35,38376.65,22312329,3597.49,35530.19921875
2025-07-11,37702.55,37990.8,37558.1,37693.25,40664744,6529.91,35530.19921875
2025-07-14,37643.35,37664.2,37016.1,37273.7,30909419,4482.05,35530.19921875
2025-07-15,37077.0,37664.9,37048.95,37424.6,38898446,5830.18,35395.615234375
2025-07-16,37325.7,37758.5,37258.05,37660.7,30678953,4069.17,35395.615234375
2025-07-17,37552.85,37666.55,37060.7,37138.55,32555252,5096.16,35530.19921875
2025-07-18,37366.7,37419.6,36951.85,37141.85,49847554,5296.29,35530.19921875
2025-07-21,37109.8,37164.85,36780.05,37031.75,25947710,3520.16,35530.19921875
2025-07-22,36963.65,37121.0,36827.4,36858.9,24765665,3820.94,35799.3671875
2025-07-23,36958.3,37086.6,36745.2,36951.5,25685905,3923.92,35530.19921875
2025-07-24,36949.3,36974.05,36097.65,36135.8,48548590,8943.2,35395.615234375
2025-07-25,35998.0,36271.1,35531.65,35623.75,34103847,5408.0,35530.19921875
2025-07-28,35521.7,35566.55,35049.9,35370.05,28685591,4284.18,35664.783203125
2025-07-29,35270.9,35438.75,35101.5,35373.25,37020194,5076.05,35664.783203125
2025-07-30,35453.05,35531.55,35258.0,35481.7,20933609,3229.92,35530.19921875
2025-07-31,35218.85,35589.0,34999.25,35301.6,25052765,3787.0,35261.03125
2025-08-01,35118.6,35166.4,34586.9,34649.6,24469783,3416.21,35126.447265625
2025-08-04,34558.7,35219.85,34324.85,35203.35,23001152,3537.86,34857.279296875
2025-08-05,35196.75,35196.75,34854.3,35034.5,27915106,3829.16,34857.279296875
2025-08-06,34957.95,34990.35,34347.45,34426.25,25943092,3424.91,34722.6953125
2025-08-07,34284.95,34808.05,34224.55,34726.8,25184313,3674.41,34588.111328125
2025-08-08,34603.0,34643.75,34350.85,34398.5,30093257,3979.45,34722.6953125
2025-08-11,34367.25,34624.4,34228.0,34544.65,17405840,2683.88,34722.6953125
2025-08-12,34589.85,35072.5,34561.3,34674.3,29736522,4305.31,34722.6953125
2025-08-13,34756.65,34842.15,34552.85,34692.95,24699468,3496.26,34722.6953125
2025-08-14,34732.25,35332.2,34732.25,34833.2,37833144,5021.21,34722.6953125
2025-08-18,35152.7,35158.7,34514.0,34634.95,21934572,3263.72,34588.111328125
2025-08-19,34618.85,34825.3,34549.05,34756.7,16666321,2629.32,34588.111328125
2025-08-20,34647.2,35773.65,34647.2,35690.05,41794670,6325.16,34722.6953125
2025-08-21,35918.8,35922.55,35461.45,35723.9,24175787,3570.3,34453.52734375
2025-08-22,35735.45,35767.15,35415.4,35440.85,27636108,3025.22,34318.943359375
2025-08-25,35795.5,36445.3,35795.5,36280.05,39055932,5136.1,34049.775390625
2025-08-26,36106.8,36324.3,35998.95,36063.2,46147784,6384.61,33780.607421875
2025-08-28,36017.15,36018.95,35444.2,35488.75,22827482,3565.6,34049.775390625
2025-08-29,35491.6,35575.2,35130.35,35181.25,28103189,3644.92,34049.775390625
2025-09-01,35255.3,35787.7,35255.3,35740.65,14503351,2300.67,34184.359375
2025-09-02,35767.0,36061.1,35541.2,35737.9,16855282,2566.68,34184.359375
2025-09-03,35807.95,35832.0,35293.1,35474.95,15429775,2444.13,34184.359375
