Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
13-NOV-2025,10679.05,10721.3,10565.8,10588.6,216570524,6257.85
12-NOV-2025,10593.65,10624.3,10532.95,10542.55,135010471,5094.73
11-NOV-2025,10538.75,10589.15,10418.5,10559.1,147993358,4607.31
10-NOV-2025,10474.8,10534.95,10465.1,10484.5,197731102,4975.44
07-NOV-2025,10237.1,10470.85,10184.55,10426.8,114815792,4095.87
06-NOV-2025,10416.65,10437.9,10245.25,10281.9,115337892,5301.28
04-NOV-2025,10651.6,10670.55,10483.75,10499.05,99220707,3373.78
03-NOV-2025,10644.05,10720.45,10628.95,10652.8,100449965,3389.18
31-OCT-2025,10717.3,10724.85,10601.25,10612.15,101881533,3763.56
30-OCT-2025,10758.7,10765.75,10656.05,10729.2,102625396,3330.66
29-OCT-2025,10648.3,10837.45,10620.15,10777.5,307229806,7790.15
28-OCT-2025,10465.85,10624.65,10455.3,10596.2,174829676,5123.92
27-OCT-2025,10416.45,10477.6,10396.85,10467.15,97806143,3363.99
24-OCT-2025,10320.75,10457.4,10314.85,10347.45,154300149,5546.82
23-OCT-2025,10287.8,10319.1,10225.45,10241.85,106871012,3329.67
21-OCT-2025,10236.85,10249.95,10215.3,10232.75,15516001,482.52
20-OCT-2025,10249.95,10253.2,10138.35,10191.85,69500668,2321.74
17-OCT-2025,10286.8,10315.05,10153.95,10199.3,83258075,2771.41
16-OCT-2025,10243.8,10294.5,10190.65,10287.25,65295296,2237.91
15-OCT-2025,10139.9,10245.7,10120.15,10218,91427528,3006.22
14-OCT-2025,10291.85,10340.8,10053.9,10116.8,115099983,3787.37
13-OCT-2025,10218,10241.5,10156.05,10217.45,90231243,2723.65
10-OCT-2025,10352.7,10357.25,10206.4,10261.55,129504814,3980.93
09-OCT-2025,10163.95,10373.3,10148.6,10356.2,256790809,7202.23
08-OCT-2025,10181.05,10209.5,10089.05,10136.55,133552562,3766.97
07-OCT-2025,10193.85,10268.5,10150.2,10156.65,91134375,2953.95
06-OCT-2025,10303.1,10315.4,10147,10185.5,105174948,2973.4
03-OCT-2025,10108.9,10346.95,10108.65,10277.1,188261747,5518.98
01-OCT-2025,10060.3,10102.45,9952.05,10092.95,101955702,3275.74
30-SEP-2025,9978.45,10082.75,9963.65,10038.15,169657336,5254.59
29-SEP-2025,9910.7,10002.7,9910.7,9923.1,102809252,3739.77
26-SEP-2025,10087.15,10124.65,9871.8,9888.25,104468519,3295.48
25-SEP-2025,10082.2,10187.35,10057.55,10082.55,145545764,5001.1
24-SEP-2025,10118.15,10153.65,10050.1,10060.1,99598782,2943.68
23-SEP-2025,10044.9,10168.2,9994.2,10129.05,127488990,4686.49
22-SEP-2025,9984.5,10079.95,9980.8,10029.1,118788787,4729.35
19-SEP-2025,9997.2,10016.1,9916.55,9989.9,131426289,4889.66
18-SEP-2025,9932,9959.65,9868.35,9955.15,68298647,2068.32
17-SEP-2025,10005.55,10018.7,9833.8,9923.15,94335970,3150.68
16-SEP-2025,9917.1,9979.75,9891.85,9973.45,91305327,2890.05
15-SEP-2025,9900.6,9951.45,9864.9,9891,81385692,2587.36
12-SEP-2025,9828.35,9902.35,9800.25,9883.6,142300497,4155.96
11-SEP-2025,9757.95,9837.65,9746.8,9792.95,82021116,2558.42
10-SEP-2025,9767.6,9812.25,9730.8,9759.45,60805944,1685.34
09-SEP-2025,9733.3,9766.25,9683.65,9734.2,83711433,1881.48
08-SEP-2025,9722.6,9816.95,9708.4,9717.85,113923186,2977.77
05-SEP-2025,9612.6,9700.9,9572.1,9681.65,65907070,1722.92
04-SEP-2025,9734.45,9736.15,9605.95,9616.35,80293465,2136.78
03-SEP-2025,9406.35,9685.8,9406.35,9676.4,201827972,4968.02
02-SEP-2025,9318.9,9432.1,9269.7,9384.35,122526738,2629.27
01-SEP-2025,9169.35,9316.7,9163.4,9305.3,56977224,1870.7
29-AUG-2025,9226.9,9238.75,9132.2,9154.8,68106415,2044.59
28-AUG-2025,9274.1,9312.1,9191.7,9210.5,72228203,2162.92
26-AUG-2025,9412.85,9414.6,9256.8,9280.05,83279066,2995.74
25-AUG-2025,9419.9,9477,9396.7,9436.75,62350537,2399.58
22-AUG-2025,9494.35,9499.75,9363.15,9375.45,62051947,2315.21
21-AUG-2025,9506.65,9538.35,9484.35,9493.65,61406626,2123.55
20-AUG-2025,9433.7,9538.95,9407.85,9497.75,109474168,3018.31
19-AUG-2025,9412.6,9463.6,9369.55,9457.5,80190742,2493.21
18-AUG-2025,9335,9414.55,9290.75,9387.5,110641932,3035.31
14-AUG-2025,9351.2,9362.25,9181.7,9216.25,114743024,2549.12
13-AUG-2025,9285.7,9424.75,9275.3,9345.95,101499911,3021.07
12-AUG-2025,9163.15,9280.7,9160.5,9229.7,68634317,2417.88
11-AUG-2025,9153.35,9227.2,9134.45,9194.8,53731711,1950.51
08-AUG-2025,9309.65,9327.3,9127.25,9147.1,55355525,2062.66
07-AUG-2025,9253.4,9328.75,9144.1,9310.65,72609144,2378.26
06-AUG-2025,9368.65,9368.65,9256.6,9298.75,53608614,1726.92
05-AUG-2025,9347.15,9374.3,9290.15,9336.05,60185769,1917.03
04-AUG-2025,9127.4,9350.6,9102.15,9327.85,94340586,2233.62
01-AUG-2025,9281.8,9285.4,9086.35,9102.35,75668134,2194.78
31-JUL-2025,9290.8,9402.45,9255.85,9285.45,103991857,3360.36
30-JUL-2025,9426.65,9464.6,9379.2,9399.75,65586332,2006.7
29-JUL-2025,9279.65,9427.35,9279.65,9409.7,68058096,2076.41
28-JUL-2025,9418.1,9432.5,9288.5,9316.45,103126614,2727.15
25-JUL-2025,9579.95,9584.9,9406.4,9425.1,82522254,2372.86
24-JUL-2025,9595.7,9644.75,9554.3,9582.3,69622205,2188.98
23-JUL-2025,9558.2,9594.85,9519.4,9579.05,84358910,1878.03
22-JUL-2025,9576.25,9598.85,9522.3,9533.3,80608817,1990.27
21-JUL-2025,9510.9,9585.35,9492.75,9555.5,118853456,3014.41
18-JUL-2025,9439.85,9509.05,9398.75,9458.2,125463275,2485.93
17-JUL-2025,9383.05,9473.3,9358.3,9423.35,75624307,2012.32
16-JUL-2025,9407.15,9412.45,9334.05,9360.7,72089027,1806.91
15-JUL-2025,9430.9,9444.3,9344.35,9411.95,79148034,1872.37
14-JUL-2025,9379.65,9472.8,9352.55,9407.95,72221714,2030.62
11-JUL-2025,9411.15,9476.65,9373.1,9382.85,97057119,2288.39
10-JUL-2025,9403.7,9463.2,9366.4,9423.55,70824673,2168
09-JUL-2025,9554.4,9554.45,9266.65,9384.5,140430478,4507.52
08-JUL-2025,9524.25,9560.2,9483.8,9517.4,54418175,1506.65
07-JUL-2025,9577.9,9578.55,9496.85,9522.15,55150865,1484.72
04-JUL-2025,9644.25,9657,9522.05,9580.4,61722427,1720.48
03-JUL-2025,9720.7,9786.15,9610.9,9623.45,166493613,3898.8
02-JUL-2025,9584.35,9747.55,9538.75,9699.2,169143532,4375.91
01-JUL-2025,9551.95,9573.95,9453.3,9564.55,124495699,3039.23
30-JUN-2025,9604.2,9610.05,9510.8,9534.8,75682063,2577.3
27-JUN-2025,9592.8,9678.45,9563.4,9578.2,167374796,5785.16
26-JUN-2025,9360.45,9554.9,9354.35,9544.55,161322138,4706.79
25-JUN-2025,9351.7,9354.25,9311.15,9329.2,70705540,2526.16
24-JUN-2025,9290.7,9395.7,9261.15,9291.1,97592911,2791.47
23-JUN-2025,9083,9245.05,9064.1,9198.55,70975399,2312.26
20-JUN-2025,9035.35,9194.9,9025.1,9138.6,121495658,4891.38
19-JUN-2025,9156.15,9158.25,8997.35,9040.45,98113183,2946.95
18-JUN-2025,9215.45,9238.8,9120.55,9158.25,218453098,8709.72
17-JUN-2025,9349.9,9366.9,9211.2,9224.4,76915633,2541.09
16-JUN-2025,9272.5,9381.65,9167.1,9358.25,78869084,2380.41
13-JUN-2025,9165.05,9311,9156.9,9258.8,95267348,2407.47
12-JUN-2025,9503.75,9511.1,9323.85,9348.5,95351812,2975.28
11-JUN-2025,9544.8,9573.6,9479.7,9495.8,96812660,3127.06
10-JUN-2025,9522.4,9581.8,9499.05,9509.7,121645731,3928.3
09-JUN-2025,9450.05,9523.9,9418.1,9477,97819308,3265.06
06-JUN-2025,9261.7,9418.65,9246.55,9406.45,147827682,4238.91
05-JUN-2025,9204.75,9258.95,9162,9231.5,101325385,3160.78
04-JUN-2025,9129.45,9204,9064.65,9177.4,86129978,2508.36
03-JUN-2025,9148.3,9204.2,9113.35,9122.3,112093061,3094.87
02-JUN-2025,9130.75,9161.2,9047.95,9128.55,112116516,3166.61
30-MAY-2025,9351.7,9384.45,9178.75,9193.25,131731946,4077.06
29-MAY-2025,9313.75,9378.65,9279.15,9351.65,146004468,5096.57
28-MAY-2025,9309,9321.65,9228.2,9239.5,115499772,2699.96
27-MAY-2025,9338.85,9365.45,9262.95,9294.95,85219733,2289.2
26-MAY-2025,9282.9,9379.5,9254.15,9336.45,113914716,3032.23
23-MAY-2025,9205.1,9277.65,9170.75,9249.6,119003276,2832.61
22-MAY-2025,9208.55,9234.45,9111,9179.65,198975000,4031.64
21-MAY-2025,9185.85,9232.3,9124.45,9208.15,105472654,2774.65
20-MAY-2025,9285.65,9343.35,9140.35,9156.05,148283405,3569.89
19-MAY-2025,9222.1,9251.55,9161.65,9210.75,87197709,2438.97
16-MAY-2025,9222,9242.9,9175.95,9201.85,78574081,2402.77
15-MAY-2025,9067.1,9223.4,9029.65,9210.05,157007034,4209.21
14-MAY-2025,8881,9085.05,8881,9052.1,191523769,4444.87
13-MAY-2025,8907.9,8928.1,8814.8,8834.65,125054962,3242.71
12-MAY-2025,8641.9,8925.65,8620.65,8914.25,161696033,4063.42
09-MAY-2025,8258.8,8436.1,8256.2,8420.55,89509903,2067.88
08-MAY-2025,8618.25,8640.25,8378.7,8428.4,101360903,2839.13
